minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:ritual/wild_villager | occultism:ritual | c:foods/pie c:villagers minecraft:beds minecraft:campfire minecraft:experience_bottle occultism:contact_wild_spirit occultism:mysterious_egg_icon occultism:ritual occultism:ritual_dummy/wild_villager occultism:spirit_attuned_gem occultism:summon_wild
occultism:ritual/wild_weak_breeze | occultism:ritual | c:storage_blocks/copper minecraft:honeycomb minecraft:tuff_bricks occultism:contact_wild_spirit occultism:humans occultism:possessed_weak_breeze occultism:ritual occultism:ritual_dummy/wild_weak_breeze occultism:spawn_egg/wild_weak_breeze occultism:summon_wild
occultism:smelting/burnt_otherrock | minecraft:smelting | minecraft:smelting occultism:burnt_otherrock occultism:polished_otherrock
occultism:smelting/burnt_otherstone | minecraft:smelting | minecraft:smelting occultism:burnt_otherstone occultism:polished_otherstone
occultism:smelting/copper_ingot_from_dust | minecraft:smelting | c:dusts/copper minecraft:copper_ingot minecraft:smelting
occultism:smelting/cracked_otherrock_bricks | minecraft:smelting | minecraft:smelting occultism:cracked_otherrock_bricks occultism:otherrock_bricks
occultism:smelting/cracked_otherstone_bricks | minecraft:smelting | minecraft:smelting occultism:cracked_otherstone_bricks occultism:otherstone_bricks
occultism:smelting/gold_ingot_from_dust | minecraft:smelting | c:dusts/gold minecraft:gold_ingot minecraft:smelting
occultism:smelting/iesnium_ingot_from_dust | minecraft:smelting | c:dusts/iesnium minecraft:smelting occultism:iesnium_ingot
occultism:smelting/iesnium_ingot_from_ore | minecraft:smelting | c:ores/iesnium minecraft:smelting occultism:iesnium_ingot
occultism:smelting/iesnium_ingot_from_raw | minecraft:smelting | c:raw_materials/iesnium minecraft:smelting occultism:iesnium_ingot
occultism:smelting/iron_ingot_from_dust | minecraft:smelting | c:dusts/iron minecraft:iron_ingot minecraft:smelting
occultism:smelting/netherite_ingot_from_dust | minecraft:smelting | c:dusts/netherite minecraft:netherite_ingot minecraft:smelting
occultism:smelting/netherite_scrap_from_dust | minecraft:smelting | c:dusts/netherite_scrap minecraft:netherite_scrap minecraft:smelting
occultism:smelting/otherrock | minecraft:smelting | minecraft:smelting occultism:othercobblerock occultism:otherrock
occultism:smelting/otherstone | minecraft:smelting | minecraft:smelting occultism:othercobblestone occultism:otherstone
occultism:smelting/polished_otherrock | minecraft:smelting | minecraft:smelting occultism:otherrock occultism:polished_otherrock
occultism:smelting/polished_otherstone | minecraft:smelting | minecraft:smelting occultism:otherstone occultism:polished_otherstone
occultism:smelting/silver_ingot_from_dust | minecraft:smelting | c:dusts/silver minecraft:smelting occultism:silver_ingot
occultism:smelting/silver_ingot_from_ore | minecraft:smelting | c:ores/silver minecraft:smelting occultism:silver_ingot
occultism:smelting/silver_ingot_from_raw | minecraft:smelting | c:raw_materials/silver minecraft:smelting occultism:silver_ingot
occultism:spirit_fire/awakened_feather | occultism:spirit_fire | c:feathers occultism:awakened_feather occultism:spirit_fire
occultism:spirit_fire/book_of_binding_empty | occultism:spirit_fire | occultism:book_of_binding_empty occultism:books/books_for_empty occultism:spirit_fire
occultism:spirit_fire/chalk_black | occultism:spirit_fire | occultism:chalk_black occultism:chalk_black_impure occultism:spirit_fire
occultism:spirit_fire/chalk_blue | occultism:spirit_fire | occultism:chalk_blue occultism:chalk_blue_impure occultism:spirit_fire
occultism:spirit_fire/chalk_brown | occultism:spirit_fire | occultism:chalk_brown occultism:chalk_brown_impure occultism:spirit_fire
occultism:spirit_fire/chalk_cyan | occultism:spirit_fire | occultism:chalk_cyan occultism:chalk_cyan_impure occultism:spirit_fire
occultism:spirit_fire/chalk_gold | occultism:spirit_fire | occultism:chalk_gold occultism:chalk_yellow_impure occultism:spirit_fire
occultism:spirit_fire/chalk_gray | occultism:spirit_fire | occultism:chalk_gray occultism:chalk_gray_impure occultism:spirit_fire
occultism:spirit_fire/chalk_green | occultism:spirit_fire | occultism:chalk_green occultism:chalk_green_impure occultism:spirit_fire
occultism:spirit_fire/chalk_light_blue | occultism:spirit_fire | occultism:chalk_light_blue occultism:chalk_light_blue_impure occultism:spirit_fire
occultism:spirit_fire/chalk_light_gray | occultism:spirit_fire | occultism:chalk_light_gray occultism:chalk_light_gray_impure occultism:spirit_fire
occultism:spirit_fire/chalk_lime | occultism:spirit_fire | occultism:chalk_lime occultism:chalk_lime_impure occultism:spirit_fire
occultism:spirit_fire/chalk_magenta | occultism:spirit_fire | occultism:chalk_magenta occultism:chalk_magenta_impure occultism:spirit_fire
occultism:spirit_fire/chalk_orange | occultism:spirit_fire | occultism:chalk_orange occultism:chalk_orange_impure occultism:spirit_fire
occultism:spirit_fire/chalk_pink | occultism:spirit_fire | occultism:chalk_pink occultism:chalk_pink_impure occultism:spirit_fire
occultism:spirit_fire/chalk_purple | occultism:spirit_fire | occultism:chalk_purple occultism:chalk_purple_impure occultism:spirit_fire
occultism:spirit_fire/chalk_red | occultism:spirit_fire | occultism:chalk_red occultism:chalk_red_impure occultism:spirit_fire
occultism:spirit_fire/chalk_white | occultism:spirit_fire | occultism:chalk_white occultism:chalk_white_impure occultism:spirit_fire
occultism:spirit_fire/otherflower | occultism:spirit_fire | minecraft:flowers occultism:otherflower occultism:spirit_fire
occultism:spirit_fire/otherrock | occultism:spirit_fire | minecraft:diorite occultism:otherrock occultism:spirit_fire
occultism:spirit_fire/otherstone | occultism:spirit_fire | minecraft:andesite occultism:otherstone occultism:spirit_fire
occultism:spirit_fire/otherworld_ashes | occultism:spirit_fire | occultism:otherworld_ashes occultism:otherworld_logs occultism:spirit_fire
occultism:spirit_fire/otherworld_essence | occultism:spirit_fire | occultism:demons_dream_essence occultism:otherworld_essence occultism:spirit_fire
occultism:spirit_fire/otherworld_sapling_natural | occultism:spirit_fire | minecraft:oak_sapling occultism:otherworld_sapling_natural occultism:spirit_fire
occultism:spirit_fire/purified_ink | occultism:spirit_fire | c:dyes/black occultism:purified_ink occultism:spirit_fire
occultism:spirit_fire/spirit_attuned_gem | occultism:spirit_fire | c:gems/diamond occultism:spirit_attuned_gem occultism:spirit_fire
occultism:spirit_fire/taboo_book | occultism:spirit_fire | minecraft:book occultism:spirit_fire occultism:taboo_book
occultism:spirit_trade/gambler_amethyst | occultism:spirit_trade | c:gems minecraft:amethyst_shard occultism:gambler occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_diamond | occultism:spirit_trade | c:gems minecraft:diamond occultism:gambler occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_emerald | occultism:spirit_trade | c:gems minecraft:emerald occultism:gambler occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_gold | occultism:spirit_trade | c:gems minecraft:gold_nugget occultism:gambler occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_iesnium | occultism:spirit_trade | c:gems occultism:gambler occultism:iesnium_nugget occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_iron | occultism:spirit_trade | c:gems minecraft:iron_nugget occultism:gambler occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_lazuli | occultism:spirit_trade | c:gems minecraft:lapis_lazuli occultism:gambler occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_prismarine | occultism:spirit_trade | c:gems minecraft:prismarine_crystals occultism:gambler occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_quartz | occultism:spirit_trade | c:gems minecraft:quartz occultism:gambler occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_silver | occultism:spirit_trade | c:gems occultism:gambler occultism:silver_nugget occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/gambler_spirit | occultism:spirit_trade | c:gems occultism:gambler occultism:spirit_attuned_gem occultism:spirit_trade occultism:weighted_item
occultism:spirit_trade/otherworld_sapling | occultism:spirit_trade | occultism:otherworld_sapling occultism:saplings/otherworld_natural occultism:spirit_trade occultism:trader_otherworld_saplings occultism:weighted_item
occultism:spirit_trade/stone_to_otherrock | occultism:spirit_trade | c:stones occultism:otherrock occultism:spirit_trade occultism:trader_otherrock occultism:weighted_item
occultism:spirit_trade/stone_to_otherstone | occultism:spirit_trade | c:stones occultism:otherstone occultism:spirit_trade occultism:trader_otherstone occultism:weighted_item
occultism:stonecutting/othercobblerock_slab_from_othercobblerock | minecraft:stonecutting | minecraft:stonecutting occultism:othercobblerock occultism:othercobblerock_slab
occultism:stonecutting/othercobblerock_stairs_from_othercobblerock | minecraft:stonecutting | minecraft:stonecutting occultism:othercobblerock occultism:othercobblerock_stairs
occultism:stonecutting/othercobblerock_wall_from_othercobblerock | minecraft:stonecutting | minecraft:stonecutting occultism:othercobblerock occultism:othercobblerock_wall
occultism:stonecutting/othercobblestone_slab_from_othercobblestone | minecraft:stonecutting | minecraft:stonecutting occultism:othercobblestone occultism:othercobblestone_slab
occultism:stonecutting/othercobblestone_stairs_from_othercobblestone | minecraft:stonecutting | minecraft:stonecutting occultism:othercobblestone occultism:othercobblestone_stairs
occultism:stonecutting/othercobblestone_wall_from_othercobblestone | minecraft:stonecutting | minecraft:stonecutting occultism:othercobblestone occultism:othercobblestone_wall
occultism:stonecutting/otherrock_bricks_from_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock occultism:otherrock_bricks
occultism:stonecutting/otherrock_bricks_slab_from_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock occultism:otherrock_bricks_slab
occultism:stonecutting/otherrock_bricks_slab_from_otherrock_bricks | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock_bricks occultism:otherrock_bricks_slab
occultism:stonecutting/otherrock_bricks_stairs_from_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock occultism:otherrock_bricks_stairs
occultism:stonecutting/otherrock_bricks_stairs_from_otherrock_bricks | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock_bricks occultism:otherrock_bricks_stairs
occultism:stonecutting/otherrock_bricks_wall_from_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock occultism:otherrock_bricks_wall
occultism:stonecutting/otherrock_bricks_wall_from_otherrock_bricks | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock_bricks occultism:otherrock_bricks_wall
occultism:stonecutting/otherrock_slab_from_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock occultism:otherrock_slab
occultism:stonecutting/otherrock_stairs_from_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock occultism:otherrock_stairs
occultism:stonecutting/otherrock_wall_from_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:otherrock occultism:otherrock_wall
occultism:stonecutting/otherstone_bricks_from_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone occultism:otherstone_bricks
occultism:stonecutting/otherstone_bricks_slab_from_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone occultism:otherstone_bricks_slab
occultism:stonecutting/otherstone_bricks_slab_from_otherstone_bricks | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone_bricks occultism:otherstone_bricks_slab
occultism:stonecutting/otherstone_bricks_stairs_from_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone occultism:otherstone_bricks_stairs
occultism:stonecutting/otherstone_bricks_stairs_from_otherstone_bricks | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone_bricks occultism:otherstone_bricks_stairs
occultism:stonecutting/otherstone_bricks_wall_from_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone occultism:otherstone_bricks_wall
occultism:stonecutting/otherstone_bricks_wall_from_otherstone_bricks | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone_bricks occultism:otherstone_bricks_wall
occultism:stonecutting/otherstone_slab_from_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone occultism:otherstone_slab
occultism:stonecutting/otherstone_stairs_from_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone occultism:otherstone_stairs
occultism:stonecutting/otherstone_wall_from_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:otherstone occultism:otherstone_wall
occultism:stonecutting/polished_otherrock_slab_from_polished_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:polished_otherrock occultism:polished_otherrock_slab
occultism:stonecutting/polished_otherrock_stairs_from_polished_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:polished_otherrock occultism:polished_otherrock_stairs
occultism:stonecutting/polished_otherrock_wall_from_polished_otherrock | minecraft:stonecutting | minecraft:stonecutting occultism:polished_otherrock occultism:polished_otherrock_wall
occultism:stonecutting/polished_otherstone_slab_from_polished_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:polished_otherstone occultism:polished_otherstone_slab
occultism:stonecutting/polished_otherstone_stairs_from_polished_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:polished_otherstone occultism:polished_otherstone_stairs
occultism:stonecutting/polished_otherstone_wall_from_polished_otherstone | minecraft:stonecutting | minecraft:stonecutting occultism:polished_otherstone occultism:polished_otherstone_wall
