butchercraft:stuff_salami | butchercraft:grinder | butchercraft:extruder_tip butchercraft:grinder c:salami_mix extradelight:unripe_salami_item neoforge:mod_loaded
extradelight:sugar_from_block | minecraft:crafting_shapeless | extradelight:sugar_sack minecraft:crafting_shapeless minecraft:sugar
extradelight:sugar_to_block | minecraft:crafting_shapeless | extradelight:sugar_sack minecraft:crafting_shapeless minecraft:sugar
extradelight:sweet_berries_from_block | minecraft:crafting_shapeless | extradelight:sweet_berry_crate minecraft:crafting_shapeless minecraft:sweet_berries
extradelight:sweet_berries_to_block | minecraft:crafting_shapeless | extradelight:sweet_berry_crate minecraft:crafting_shapeless minecraft:sweet_berries
extradelight:sweet_berry_juice | minecraft:crafting_shapeless | c:fruit/sweet_berry extradelight:sweet_berry_juice extradelight:sweetener minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:sweet_berry_juice_from_bucket | minecraft:crafting_shapeless | extradelight:sweet_berry_fluid_bucket extradelight:sweet_berry_juice minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:sweet_berry_juice_to_bucket | minecraft:crafting_shapeless | extradelight:sweet_berry_fluid_bucket extradelight:sweet_berry_juice minecraft:bucket minecraft:crafting_shapeless
extradelight:sweet_berry_pie_slice | minecraft:crafting_shaped | extradelight:sweet_berry_pie extradelight:sweet_berry_pie_slice minecraft:crafting_shaped
extradelight:tap | minecraft:crafting_shaped | c:buckets/water extradelight:tap minecraft:copper_ingot minecraft:crafting_shaped minecraft:lever
extradelight:tarte_tatin_slice | minecraft:crafting_shaped | extradelight:tarte_tatin extradelight:tarte_tatin_slice minecraft:crafting_shaped
extradelight:tea_from_bucket | minecraft:crafting_shapeless | extradelight:tea extradelight:tea_fluid_bucket minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:tea_to_bucket | minecraft:crafting_shapeless | extradelight:tea extradelight:tea_fluid_bucket minecraft:bucket minecraft:crafting_shapeless
extradelight:tomato_juice | minecraft:crafting_shapeless | c:crops/tomato extradelight:sweetener extradelight:tomato_juice minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:tomato_juice_from_bucket | minecraft:crafting_shapeless | extradelight:tomato_juice extradelight:tomato_juice_fluid_bucket minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:tomato_juice_to_bucket | minecraft:crafting_shapeless | extradelight:tomato_juice extradelight:tomato_juice_fluid_bucket minecraft:bucket minecraft:crafting_shapeless
extradelight:toolonblock/frost_gingerbread_blue | extradelight:tool_on_block | c:frosting/blue extradelight:gingerbread_block_blue extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_brown | extradelight:tool_on_block | c:frosting/brown extradelight:gingerbread_block_brown extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_cyan | extradelight:tool_on_block | c:frosting/cyan extradelight:gingerbread_block_cyan extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_gray | extradelight:tool_on_block | c:frosting/gray extradelight:gingerbread_block_gray extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_green | extradelight:tool_on_block | c:frosting/green extradelight:gingerbread_block_green extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_light_blue | extradelight:tool_on_block | c:frosting/light_blue extradelight:gingerbread_block_light_blue extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_light_gray | extradelight:tool_on_block | c:frosting/light_gray extradelight:gingerbread_block_light_gray extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_lime | extradelight:tool_on_block | c:frosting/lime extradelight:gingerbread_block_lime extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_magenta | extradelight:tool_on_block | c:frosting/magenta extradelight:gingerbread_block_magenta extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_orange | extradelight:tool_on_block | c:frosting/orange extradelight:gingerbread_block_orange extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_pink | extradelight:tool_on_block | c:frosting/pink extradelight:gingerbread_block_pink extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_purple | extradelight:tool_on_block | c:frosting/purple extradelight:gingerbread_block_purple extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_red | extradelight:tool_on_block | c:frosting/red extradelight:gingerbread_block_red extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_white | extradelight:tool_on_block | c:frosting/white extradelight:gingerbread_block_white extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:toolonblock/frost_gingerbread_yellow | extradelight:tool_on_block | c:frosting/yellow extradelight:gingerbread_block_yellow extradelight:gingerbread_cookie_block_item extradelight:tool_on_block
extradelight:trail_mix | minecraft:crafting_shapeless | c:chocolate/chips c:fruit/dried c:nuts/cooked extradelight:trail_mix minecraft:crafting_shapeless
extradelight:tray | minecraft:crafting_shapeless | extradelight:tray minecraft:crafting_shapeless minecraft:heavy_weighted_pressure_plate minecraft:iron_nugget
extradelight:vat | minecraft:crafting_shaped | c:ingots/copper extradelight:vat minecraft:crafting_shaped
extradelight:vat/fish_sauce_item | extradelight:vat | c:foods/raw_fish c:salt extradelight:fish_sauce_item extradelight:vat minecraft:glass_bottle minecraft:water
extradelight:vat/gherkins_block_item | extradelight:vat | c:crops/cucumber c:salt extradelight:gherkins_block_item extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle
extradelight:vat/hot_sauce_item | extradelight:vat | c:salt extradelight:hot_sauce_item extradelight:processed/chili extradelight:processed/garlic extradelight:processed/onion extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle
extradelight:vat/kimchi_item | extradelight:vat | c:chili/powder c:salt extradelight:kimchi_item extradelight:processed/cabbage extradelight:processed/garlic extradelight:processed/ginger extradelight:vat minecraft:bowl minecraft:water
extradelight:vat/miso_paste_item | extradelight:vat | c:salt c:soybeans/cooked extradelight:miso_paste_item extradelight:vat extradelight:yeast farmersdelight:cooked_rice minecraft:glass_bottle minecraft:water
extradelight:vat/naem_moo_item | extradelight:vat | c:pork/ground/raw c:salt extradelight:naem_moo_item extradelight:processed/chili extradelight:processed/garlic extradelight:vat farmersdelight:cooked_rice minecraft:lily_pad minecraft:water
extradelight:vat/natto_item | extradelight:vat | c:soybeans/cooked extradelight:natto_item extradelight:vat extradelight:yeast minecraft:bowl minecraft:water
extradelight:vat/pickled_beets_block_item | extradelight:vat | c:salt extradelight:pickled_beets_block_item extradelight:processed/beetroot extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle minecraft:sugar
extradelight:vat/pickled_carrots_block_item | extradelight:vat | c:crops/carrot c:salt extradelight:pickled_carrots_block_item extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle
extradelight:vat/pickled_eggs_block_item | extradelight:vat | c:eggs/boiled extradelight:pickled_eggs_block_item extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle minecraft:sugar
extradelight:vat/pickled_fish_block_item | extradelight:vat | c:foods/safe_raw_fish c:salt extradelight:pickled_fish_block_item extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle minecraft:sugar
extradelight:vat/pickled_ginger_block_item | extradelight:vat | c:ginger/sliced c:salt extradelight:pickled_ginger_block_item extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle
extradelight:vat/pickled_onions_block_item | extradelight:vat | c:crops/onion c:salt extradelight:pickled_onions_block_item extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle
extradelight:vat/pickled_rinds_block_item | extradelight:vat | c:salt extradelight:melon_rind extradelight:pickled_rinds_block_item extradelight:sweetener extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle
extradelight:vat/pickled_sausage_block_item | extradelight:vat | c:sausage/cooked extradelight:pickled_sausage_block_item extradelight:vat extradelight:vinegar_fluid minecraft:glass_bottle
extradelight:vat/preserved_lemons_block_item | extradelight:vat | c:salt extradelight:lemon_juice_fluid extradelight:preserved_lemons_block_item extradelight:processed/lemon extradelight:vat minecraft:glass_bottle
extradelight:vat/sauerkraut_item | extradelight:vat | c:salt extradelight:processed/cabbage extradelight:sauerkraut_item extradelight:vat minecraft:bowl minecraft:water
extradelight:vat/soaked_soybeans_item | extradelight:vat | c:crops/soybean extradelight:soaked_soybeans_item extradelight:vat minecraft:bowl minecraft:water
extradelight:vat/soy_sauce_item | extradelight:vat | c:foods/cooked_wheat_seeds c:salt c:soybeans/cooked extradelight:soy_sauce_item extradelight:vat extradelight:yeast minecraft:glass_bottle minecraft:water
extradelight:vat/vinegar | extradelight:vat | c:crops/rice c:crops/sugar_cane c:crops/wheat c:fruit extradelight:vat extradelight:vinegar extradelight:yeast minecraft:glass_bottle minecraft:sugar minecraft:water neoforge:compound
extradelight:vat/yeast | extradelight:vat | c:fruit extradelight:vat extradelight:yeast minecraft:glass_bottle minecraft:water
extradelight:vinegar_from_bucket | minecraft:crafting_shapeless | extradelight:vinegar extradelight:vinegar_fluid_bucket minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:vinegar_pot | minecraft:crafting_shapeless | c:buckets/water c:fruit extradelight:sweetener extradelight:vinegar_pot farmersdelight:canvas minecraft:crafting_shapeless minecraft:flower_pot minecraft:potion
extradelight:vinegar_to_bucket | minecraft:crafting_shapeless | extradelight:vinegar extradelight:vinegar_fluid_bucket minecraft:bucket minecraft:crafting_shapeless
extradelight:wallpaper_black | minecraft:crafting_shapeless | c:dyes/black extradelight:wallpaper_black minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_blue | minecraft:crafting_shapeless | c:dyes/blue extradelight:wallpaper_blue minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_brown | minecraft:crafting_shapeless | c:dyes/brown extradelight:wallpaper_brown minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_cyan | minecraft:crafting_shapeless | c:dyes/cyan extradelight:wallpaper_cyan minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_gray | minecraft:crafting_shapeless | c:dyes/gray extradelight:wallpaper_gray minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_green | minecraft:crafting_shapeless | c:dyes/green extradelight:wallpaper_green minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_light_blue | minecraft:crafting_shapeless | c:dyes/light_blue extradelight:wallpaper_light_blue minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_light_gray | minecraft:crafting_shapeless | c:dyes/light_gray extradelight:wallpaper_light_gray minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_lime | minecraft:crafting_shapeless | c:dyes/lime extradelight:wallpaper_lime minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_magenta | minecraft:crafting_shapeless | c:dyes/magenta extradelight:wallpaper_magenta minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_orange | minecraft:crafting_shapeless | c:dyes/orange extradelight:wallpaper_orange minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_pink | minecraft:crafting_shapeless | c:dyes/pink extradelight:wallpaper_pink minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_purple | minecraft:crafting_shapeless | c:dyes/purple extradelight:wallpaper_purple minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_red | minecraft:crafting_shapeless | c:dyes/red extradelight:wallpaper_red minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_white | minecraft:crafting_shapeless | c:dyes/white extradelight:wallpaper_white minecraft:crafting_shapeless minecraft:paper
extradelight:wallpaper_yellow | minecraft:crafting_shapeless | c:dyes/yellow extradelight:wallpaper_yellow minecraft:crafting_shapeless minecraft:paper
extradelight:warped_dried_corn_fence | minecraft:crafting_shapeless | extradelight:dried_corn_husk extradelight:warped_dried_corn_fence minecraft:crafting_shapeless minecraft:warped_fence
extradelight:warped_dried_corn_fence_back | minecraft:crafting_shapeless | extradelight:warped_dried_corn_fence minecraft:crafting_shapeless minecraft:warped_fence
extradelight:warped_food_display | minecraft:crafting_shaped | extradelight:warped_food_display minecraft:crafting_shaped minecraft:stick minecraft:warped_slab
extradelight:warped_knife_block | minecraft:crafting_shaped | c:tools/knife extradelight:warped_knife_block minecraft:crafting_shaped minecraft:warped_slab
extradelight:warped_molded_black_wallpaper | minecraft:crafting_shapeless | c:dyes/black extradelight:warped_molded_black_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:warped_slab
extradelight:warped_molded_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/blue extradelight:warped_molded_blue_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:warped_slab
extradelight:warped_molded_brown_wallpaper | minecraft:crafting_shapeless | c:dyes/brown extradelight:warped_molded_brown_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:warped_slab
extradelight:warped_molded_cyan_wallpaper | minecraft:crafting_shapeless | c:dyes/cyan extradelight:warped_molded_cyan_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:warped_slab
extradelight:warped_molded_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/gray extradelight:warped_molded_gray_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:warped_slab
extradelight:warped_molded_green_wallpaper | minecraft:crafting_shapeless | c:dyes/green extradelight:warped_molded_green_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:warped_slab
extradelight:warped_molded_light_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/light_blue extradelight:warped_molded_light_blue_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:warped_slab
extradelight:warped_molded_light_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/light_gray extradelight:warped_molded_light_gray_wallpaper minecraft:crafting_shapeless minecraft:paper minecraft:warped_slab
