create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:polished_cut_scorchia_wall_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | create:polished_cut_scorchia_wall create:stone_types/scorchia minecraft:stonecutting
create:polished_cut_scoria_from_stone_types_scoria_stonecutting | minecraft:stonecutting | create:polished_cut_scoria create:stone_types/scoria minecraft:stonecutting
create:polished_cut_scoria_slab | minecraft:crafting_shaped | create:polished_cut_scoria create:polished_cut_scoria_slab minecraft:crafting_shaped
create:polished_cut_scoria_slab_from_stone_types_scoria_stonecutting | minecraft:stonecutting | create:polished_cut_scoria_slab create:stone_types/scoria minecraft:stonecutting
create:polished_cut_scoria_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_scoria create:polished_cut_scoria_slab minecraft:crafting_shapeless
create:polished_cut_scoria_stairs | minecraft:crafting_shaped | create:polished_cut_scoria create:polished_cut_scoria_stairs minecraft:crafting_shaped
create:polished_cut_scoria_stairs_from_stone_types_scoria_stonecutting | minecraft:stonecutting | create:polished_cut_scoria_stairs create:stone_types/scoria minecraft:stonecutting
create:polished_cut_scoria_wall | minecraft:crafting_shaped | create:polished_cut_scoria create:polished_cut_scoria_wall minecraft:crafting_shaped
create:polished_cut_scoria_wall_from_stone_types_scoria_stonecutting | minecraft:stonecutting | create:polished_cut_scoria_wall create:stone_types/scoria minecraft:stonecutting
create:polished_cut_tuff_from_stone_types_tuff_stonecutting | minecraft:stonecutting | create:polished_cut_tuff create:stone_types/tuff minecraft:stonecutting
create:polished_cut_tuff_slab | minecraft:crafting_shaped | create:polished_cut_tuff create:polished_cut_tuff_slab minecraft:crafting_shaped
create:polished_cut_tuff_slab_from_stone_types_tuff_stonecutting | minecraft:stonecutting | create:polished_cut_tuff_slab create:stone_types/tuff minecraft:stonecutting
create:polished_cut_tuff_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_tuff create:polished_cut_tuff_slab minecraft:crafting_shapeless
create:polished_cut_tuff_stairs | minecraft:crafting_shaped | create:polished_cut_tuff create:polished_cut_tuff_stairs minecraft:crafting_shaped
create:polished_cut_tuff_stairs_from_stone_types_tuff_stonecutting | minecraft:stonecutting | create:polished_cut_tuff_stairs create:stone_types/tuff minecraft:stonecutting
create:polished_cut_tuff_wall | minecraft:crafting_shaped | create:polished_cut_tuff create:polished_cut_tuff_wall minecraft:crafting_shaped
create:polished_cut_tuff_wall_from_stone_types_tuff_stonecutting | minecraft:stonecutting | create:polished_cut_tuff_wall create:stone_types/tuff minecraft:stonecutting
create:polished_cut_veridium_from_stone_types_veridium_stonecutting | minecraft:stonecutting | create:polished_cut_veridium create:stone_types/veridium minecraft:stonecutting
create:polished_cut_veridium_slab | minecraft:crafting_shaped | create:polished_cut_veridium create:polished_cut_veridium_slab minecraft:crafting_shaped
create:polished_cut_veridium_slab_from_stone_types_veridium_stonecutting | minecraft:stonecutting | create:polished_cut_veridium_slab create:stone_types/veridium minecraft:stonecutting
create:polished_cut_veridium_slab_recycling | minecraft:crafting_shapeless | create:polished_cut_veridium create:polished_cut_veridium_slab minecraft:crafting_shapeless
create:polished_cut_veridium_stairs | minecraft:crafting_shaped | create:polished_cut_veridium create:polished_cut_veridium_stairs minecraft:crafting_shaped
create:polished_cut_veridium_stairs_from_stone_types_veridium_stonecutting | minecraft:stonecutting | create:polished_cut_veridium_stairs create:stone_types/veridium minecraft:stonecutting
create:polished_cut_veridium_wall | minecraft:crafting_shaped | create:polished_cut_veridium create:polished_cut_veridium_wall minecraft:crafting_shaped
create:polished_cut_veridium_wall_from_stone_types_veridium_stonecutting | minecraft:stonecutting | create:polished_cut_veridium_wall create:stone_types/veridium minecraft:stonecutting
create:pressing/aether_dirt_path | create:pressing | aether:aether_dirt aether:aether_dirt_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/aether_dirt_path_from_grass | create:pressing | aether:aether_dirt_path aether:aether_grass_block create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/brass_ingot | create:pressing | c:ingots/brass create:brass_sheet create:pressing
create:pressing/cardboard | create:pressing | create:cardboard create:pressing create:pulp
create:pressing/compat/atmospheric/crustose_path | create:pressing | atmospheric:crustose atmospheric:crustose_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/amber_moss_path | create:pressing | betterendforge:amber_moss betterendforge:amber_moss_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/cave_moss_path | create:pressing | betterendforge:cave_moss betterendforge:cave_moss_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/chorus_nylium_path | create:pressing | betterendforge:chorus_nylium betterendforge:chorus_nylium_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/crystal_moss_path | create:pressing | betterendforge:crystal_moss betterendforge:crystal_moss_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/end_moss_path | create:pressing | betterendforge:end_moss betterendforge:end_moss_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/end_mycelium_path | create:pressing | betterendforge:end_mycelium betterendforge:end_mycelium_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/jungle_moss_path | create:pressing | betterendforge:jungle_moss betterendforge:jungle_moss_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/pink_moss_path | create:pressing | betterendforge:pink_moss betterendforge:pink_moss_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/betterendforge/shadow_grass_path | create:pressing | betterendforge:shadow_grass betterendforge:shadow_grass_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/biomeswevegone/lush_dirt_path | create:pressing | biomeswevegone:lush_dirt biomeswevegone:lush_dirt_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/biomeswevegone/lush_grass_path | create:pressing | biomeswevegone:lush_dirt_path biomeswevegone:lush_grass_block create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/biomeswevegone/sandy_dirt_path | create:pressing | biomeswevegone:sandy_dirt biomeswevegone:sandy_dirt_path create:pressing neoforge:compound neoforge:mod_loaded
create:pressing/compat/environmental/dirt_path | create:pressing | create:pressing environmental:dirt_path minecraft:coarse_dirt minecraft:dirt minecraft:rooted_dirt neoforge:mod_loaded
create:pressing/compat/environmental/mycelium_path | create:pressing | create:pressing environmental:mycelium_path minecraft:mycelium neoforge:mod_loaded
create:pressing/compat/environmental/podzol_path | create:pressing | create:pressing environmental:podzol_path minecraft:podzol neoforge:mod_loaded
create:pressing/compat/immersiveengineering/plate_aluminum | create:pressing | c:ingots/aluminum create:pressing immersiveengineering:plate_aluminum neoforge:mod_loaded
create:pressing/compat/immersiveengineering/plate_constantan | create:pressing | c:ingots/constantan create:pressing immersiveengineering:plate_constantan neoforge:mod_loaded
create:pressing/compat/immersiveengineering/plate_electrum | create:pressing | c:ingots/electrum create:pressing immersiveengineering:plate_electrum neoforge:mod_loaded
create:pressing/compat/immersiveengineering/plate_lead | create:pressing | c:ingots/lead create:pressing immersiveengineering:plate_lead neoforge:mod_loaded
create:pressing/compat/immersiveengineering/plate_nickel | create:pressing | c:ingots/nickel create:pressing immersiveengineering:plate_nickel neoforge:mod_loaded
create:pressing/compat/immersiveengineering/plate_silver | create:pressing | c:ingots/silver create:pressing immersiveengineering:plate_silver neoforge:mod_loaded
create:pressing/compat/immersiveengineering/plate_steel | create:pressing | c:ingots/steel create:pressing immersiveengineering:plate_steel neoforge:mod_loaded
create:pressing/compat/immersiveengineering/plate_uranium | create:pressing | c:ingots/uranium create:pressing immersiveengineering:plate_uranium neoforge:mod_loaded
create:pressing/compat/infernalexp/crimson_nylium_path | create:pressing | create:pressing infernalexp:crimson_nylium_path minecraft:crimson_nylium neoforge:mod_loaded
create:pressing/compat/infernalexp/soul_soil_path | create:pressing | create:pressing infernalexp:soul_soil_path minecraft:soul_soil neoforge:mod_loaded
create:pressing/compat/infernalexp/warped_nylium_path | create:pressing | create:pressing infernalexp:warped_nylium_path minecraft:warped_nylium neoforge:mod_loaded
create:pressing/compat/vampirism/cursed_earth_path | create:pressing | create:pressing neoforge:compound neoforge:mod_loaded vampirism:cursed_earth vampirism:cursed_earth_path
create:pressing/copper_ingot | create:pressing | c:ingots/copper create:copper_sheet create:pressing
create:pressing/cursed_earth_path_from_grass | create:pressing | create:pressing neoforge:compound neoforge:mod_loaded vampirism:cursed_earth_path vampirism:cursed_grass
create:pressing/gold_ingot | create:pressing | c:ingots/gold create:golden_sheet create:pressing
create:pressing/iron_ingot | create:pressing | c:ingots/iron create:iron_sheet create:pressing
create:pressing/path | create:pressing | create:pressing minecraft:coarse_dirt minecraft:dirt minecraft:dirt_path minecraft:mycelium minecraft:podzol minecraft:rooted_dirt neoforge:mod_loaded neoforge:not
create:pressing/path_from_grass | create:pressing | create:pressing minecraft:dirt_path minecraft:grass_block
create:pressing/peat_dirt_path | create:pressing | create:pressing neoforge:compound neoforge:mod_loaded regions_unexplored:peat_dirt regions_unexplored:peat_dirt_path
create:pressing/peat_dirt_path_from_grass | create:pressing | create:pressing neoforge:compound neoforge:mod_loaded regions_unexplored:peat_dirt_path regions_unexplored:peat_grass_block
create:pressing/silt_dirt_path | create:pressing | create:pressing neoforge:compound neoforge:mod_loaded regions_unexplored:silt_dirt regions_unexplored:silt_dirt_path
create:pressing/silt_dirt_path_from_grass | create:pressing | create:pressing neoforge:compound neoforge:mod_loaded regions_unexplored:silt_dirt_path regions_unexplored:silt_grass_block
create:pressing/sugar_cane | create:pressing | create:pressing minecraft:paper minecraft:sugar_cane
create:rose_quartz_block_from_rose_quartz_stonecutting | minecraft:stonecutting | create:rose_quartz create:rose_quartz_block minecraft:stonecutting
create:rose_quartz_tiles_from_polished_rose_quartz_stonecutting | minecraft:stonecutting | create:polished_rose_quartz create:rose_quartz_tiles minecraft:stonecutting
create:sandpaper_polishing/rose_quartz | create:sandpaper_polishing | create:polished_rose_quartz create:rose_quartz create:sandpaper_polishing
create:scorchia_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | create:scorchia create:stone_types/scorchia minecraft:stonecutting
create:scorchia_pillar_from_stone_types_scorchia_stonecutting | minecraft:stonecutting | create:scorchia_pillar create:stone_types/scorchia minecraft:stonecutting
create:scoria_from_stone_types_scoria_stonecutting | minecraft:stonecutting | create:scoria create:stone_types/scoria minecraft:stonecutting
create:scoria_pillar_from_stone_types_scoria_stonecutting | minecraft:stonecutting | create:scoria_pillar create:stone_types/scoria minecraft:stonecutting
create:sequenced_assembly/precision_mechanism | create:sequenced_assembly | c:nuggets/iron c:plates/gold create:andesite_alloy create:cogwheel create:crushed_raw_gold create:deploying create:golden_sheet create:incomplete_precision_mechanism create:large_cogwheel create:precision_mechanism create:sequenced_assembly create:shaft minecraft:clock minecraft:gold_nugget minecraft:iron_ingot
create:sequenced_assembly/sturdy_sheet | create:sequenced_assembly | c:dusts/obsidian create:filling create:pressing create:sequenced_assembly create:sturdy_sheet create:unprocessed_obsidian_sheet minecraft:lava neoforge:single
create:sequenced_assembly/track | create:sequenced_assembly | c:nuggets/iron c:nuggets/zinc create:deploying create:incomplete_track create:pressing create:sequenced_assembly create:sleepers create:track
